,prov,soum,year,var,sd,mean,m
333,Töv,Bayan,2021,vol,4.121729647,21.12835305,0.819856582
334,Töv,Bay_Unj,2021,cover,5.029471551,66.03920308,0.891472825
335,Töv,Bay_Unj,2021,ht,1.216255544,7.843732859,0.814199317
336,Töv,Bay_Unj,2021,vol,4.683837293,20.87567921,0.837886793
337,Töv,Bayanch,2021,cover,5.341447677,75.09777551,0.902939915
338,Töv,Bayanch,2021,ht,1.532332885,10.34452223,0.877926481
339,Töv,Bayanch,2021,vol,6.71064028,31.30752499,0.873172753
340,Töv,Bayand,2021,cover,3.794086941,72.50121575,0.843545555
341,Töv,Bayand,2021,ht,1.075830527,10.05721085,0.783842874
342,Töv,Bayand,2021,vol,4.513725184,29.31485155,0.794335116
343,Töv,Bayanj,2021,cover,2.960128832,69.7592786,0.889055961
344,Töv,Bayanj,2021,ht,1.152410329,9.085010811,0.874352901
345,Töv,Bayanj,2021,vol,4.106255271,25.47455519,0.882534055
346,Töv,Bayankh,2021,cover,4.595947608,71.00611543,0.871410049
347,Töv,Bayankh,2021,ht,1.448031236,9.41663931,0.859680845
348,Töv,Bayankh,2021,vol,5.689982094,26.9654973,0.858671672
349,Töv,Bayant,2021,cover,5.012270701,61.34322431,0.885159922
350,Töv,Bayant,2021,ht,0.742147282,7.229776035,0.735211181
351,Töv,Bayant,2021,vol,3.161824273,17.83093961,0.805120919
352,Töv,Bayantsogt,2021,cover,4.710524821,70.3113988,0.910450425
353,Töv,Bayantsogt,2021,ht,1.430575895,8.971643796,0.867017262
354,Töv,Bayantsogt,2021,vol,5.756227001,25.51165072,0.876796767
355,Töv,Bornuur,2021,cover,5.534611251,78.06266591,0.88931813
356,Töv,Bornuur,2021,ht,1.570537632,11.24945002,0.795482472
357,Töv,Bornuur,2021,vol,7.081728994,35.33156566,0.812300413
358,Töv,Buren,2021,cover,5.608167207,66.32063101,0.901492129
359,Töv,Buren,2021,ht,1.371954942,8.022282199,0.828169247
360,Töv,Buren,2021,vol,5.421134529,21.50793948,0.848261126
361,Töv,Delger,2021,cover,5.369478464,67.3258223,0.851860104
362,Töv,Delger,2021,ht,1.393015458,8.025444048,0.781051875
363,Töv,Delger,2021,vol,5.438379312,21.82217778,0.794373288
364,Töv,Erdene,2021,cover,5.872172879,73.48849842,0.793026722
365,Töv,Erdene,2021,ht,1.704986295,9.994045058,0.770133979
366,Töv,Erdene,2021,vol,7.278082237,29.6747958,0.762499527
367,Töv,Erdenesant,2021,cover,4.573189916,72.22956601,0.842627454
368,Töv,Erdenesant,2021,ht,1.44863699,9.74726284,0.848542312
369,Töv,Erdenesant,2021,vol,5.834041548,28.35037663,0.834205113
370,Töv,Jargalant,2021,cover,4.227945869,78.624492,0.864778716
371,Töv,Jargalant,2021,ht,1.44422623,11.2518655,0.807589723
372,Töv,Jargalant,2021,vol,6.339192229,35.45121943,0.810624649
373,Töv,Lun,2021,cover,4.60936106,71.79582721,0.813231169
